States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date
Chhattisgarh,24.8,26.2,27.2,74.8,69.4,62,72.6,56,41,41.8,124.8,102.2,70.2,89.2,93.8,79,43.6,183.8,11.6,12,43.6,16,2/1/2018
Delhi,34,19,22,83,82,87,84,74,40,42,164,120,88,102,109,78,53,231,17,16,51,31,2/1/2018
Goa,42,30,28,90,70,110,90,70,40,50,170,159,115,96,115,79,60,240,17,25,47,25,2/1/2018
Gujarat,23.75,20.75,24,70,71.75,68.75,66.75,56,40,50.5,102.75,88.5,73.5,80,81.5,69,50.5,213.75,14.75,12,35.5,30,2/1/2018
Haryana,31,21,25.25,69,74.75,72.25,65.75,57.5,40.75,43.75,135.75,99,78.25,89.25,99,71.25,42,230,18.5,13.25,42.75,30.75,2/1/2018
Himachal Pradesh,31,0,23.75,67.5,72,68.25,69.75,58.25,43.25,34.25,135,125.25,88,87,90,73,42,177.5,17.5,10.75,44,29.5,2/1/2018
Jammu and Kashmir,30.5,22.5,24.5,86,85.5,85.5,75,63,47,38.5,0,119.5,94,112.5,120,95,40,230,18,15,47.5,25,2/1/2018
Jharkhand,34,24,25,75,70,70,75,55,42,42,145,107,75,104,104,76,38,260,18,13,40,20,2/1/2018
Karnataka,46,31.5,35.5,99.25,80,94.25,76.5,80,40.5,36,141.5,129,81.75,83,83,70.75,53.5,240.25,11.25,19.5,41.5,13.25,2/1/2018
Madhya Pradesh,24.33,18.83,22.17,71.83,67.83,67.17,62.5,55,41,44.33,125.17,86.17,68.33,77.17,88.17,67.33,40,217.33,15.83,10.83,33.83,24.5,2/1/2018
Maharashtra,34.5,25.5,30.25,74.25,68.5,76.5,77.75,58.75,40.25,39.75,121,126,81.25,82.25,90.25,73.25,44.5,236,16.5,17.25,34.75,24.5,2/1/2018
Manipur,50,0,30,100,100,100,100,80,50,0,0,109,87,109,0,98,80,240,15,30,70,55,2/1/2018
Meghalaya,25,29,28,85,62,73,80,63,50,64,115,94,72,98,122,88,66,200,20,20,55,35,2/1/2018
Odisha,25.5,0,24.25,61.5,64,58.75,69,51.5,40.25,34,0,97.5,73.75,84.5,92,78,41.25,180,17,8.25,42.25,19,2/1/2018
Puducherry,32,34,28,76,76,80,76,55,38,36,126,132,100,0,88,74,50,250,17,20,40,10,2/1/2018
Punjab,33.5,19.5,23,73.5,79,71,79,72.5,40,45,146.5,94,80.5,87,101,0,43.5,195,18,15,44,32.5,2/1/2018
Rajasthan,28,18,21.33,66.67,60.67,60,58,51.33,41.33,38.67,120.33,94.67,67.67,77.33,92.67,0,38.67,207.67,14.33,9,30,16.67,2/1/2018
Sikkim,0,21,31,0,75,0,0,75,48,47,0,0,0,0,0,0,50,277,16,16,50,30,2/1/2018
Tamil Nadu,36.6,30.8,30.25,73.6,72,76,74.5,59.5,39.6,36,134.6,114.5,92.6,90,91.8,72.6,54,220,17,19.2,42,9.4,2/1/2018
