States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date
Maximum Price,55,46,48,132,100,115,100,105,50,64,170,165,109,120,126,98,66,300,20,40,55,45,26/02/2018
Minimum Price,20,16,20,52,60,50,56,46,34,28,89,80,62,70,78,62,29,120,8,7,20,6,26/02/2018
Modal Price,25,19,23,75,70,70,80,52,42,40,115,100,70,85,85,72,40,220,18,10,31.67,10,26/02/2018
Andhra Pradesh,30.5,28,29.75,70.5,66.5,74.25,74.25,62.33,41.75,41.75,105.75,116,67.5,86,85.25,68.25,43.75,212,13.25,16.75,25,9.5,26/02/2018
Assam,30,26,29,57,70,70,75,65,42,56,0,90,75,90,100,0,47,200,12,11,32,25,26/02/2018
Bihar,30,18.67,22,65,70.33,76,69.33,55,39.67,40,0,94.67,74.33,89.67,97,72.33,35.33,194.33,14,10,29.33,20,26/02/2018
Chandigarh,28,23,25,68,64,64,65,55,42,44,128,105,75,85,92,0,37,220,16,10,32,22,26/02/2018
Chhattisgarh,25.4,24.8,26.2,70.2,70.4,60,72.2,55,39.2,41.8,122.6,102.2,70.2,87.6,91,78.75,42.6,195.8,10.6,10.4,35.6,10.2,26/02/2018
Delhi,34,20,23,74,84,84,84,71,39,42,162,118,88,99,108,79,51,237,17,15,36,21,26/02/2018
Goa,42,30,28,85,70,95,95,70,39,50,170,159,109,100,106,79,55,240,17,22,27,17,26/02/2018
Gujarat,23.75,20.5,23,65.75,71.25,67.75,65.75,54.5,39.5,50.5,102.5,88.25,71,80,81.5,69.5,50.5,213.75,14.75,12,34.75,27.5,26/02/2018
Haryana,28.75,20.5,24.25,65.25,79,75,71,62.25,40.75,43.75,135.75,96.5,81,88.75,97.5,73.75,40.75,230,18.5,11.5,36.5,22,26/02/2018
Himachal Pradesh,31.5,0,24,63,70,67.5,72.5,56.5,40,29,158,121.5,89.5,90.5,0,0,34.5,180,17,12.5,35,22.5,26/02/2018
Jammu and Kashmir,30.5,20.5,23,71,74.5,74.5,77.5,68,46,38.5,0,116,96.5,112.5,120,95,40.5,230,18,15,35,25,26/02/2018
Jharkhand,35,24,24,62,65,60,70,52,42,42,145,107,70,98,102,83,38,260,18,13,28,15,26/02/2018
Karnataka,44.75,31.25,35.5,94,78.75,93.5,78,79.5,38,36,137.75,126.25,81.75,85,83.5,70.25,53,237.25,11.25,20.25,31.75,10.5,26/02/2018
Kerala,40.17,35.33,37.5,77.33,75.33,77,76.5,66.5,40.5,43,128,143.8,91.67,93,89.5,72.5,52.33,179.67,10.67,26.83,37.5,17.83,26/02/2018
Madhya Pradesh,24.33,18.83,22.33,67.33,66.83,66.33,62.67,52.5,40,44.33,124.83,86.5,67.5,77.67,88.17,67.33,39.67,217.33,15.83,12.17,25.33,14.67,26/02/2018
Maharashtra,34.75,26.25,29.5,68.5,68.25,73,76.75,57.25,39,39.75,117.75,124.5,81.25,82.5,89.75,73.25,45,235.25,16.5,18,25.5,20,26/02/2018
Manipur,50,0,30,100,100,100,100,80,50,0,0,109,87,109,0,98,60,240,15,20,50,45,26/02/2018
Meghalaya,25,29,28,85,62,73,80,63,50,64,115,94,72,98,122,88,66,200,20,20,55,35,26/02/2018
Nagaland,25,40,30,80,75,60,75,60,45,50,0,0,0,0,0,0,60,200,10,15,50,30,26/02/2018
Odisha,26,0,23,54.75,66.25,58.75,70.25,48.25,39.5,34,0,99.75,73.75,90.5,92.75,79.75,40,185,17,10,25.75,12.75,26/02/2018
Puducherry,32,34,28,65,76,80,80,55,38,36,124,132,100,0,89,76,48,250,17,18,24,8,26/02/2018
Punjab,32,19,22.67,74,80.33,76.67,77.33,71.67,40.67,45.67,150.33,97.33,83.67,89.67,102.67,0,43.67,201.67,18,10.33,31.67,20.67,26/02/2018
Rajasthan,27,18,20,74,63,60,60,50,40,40,125,120,64,80,88,0,36,243,16,10,28,17,26/02/2018
Sikkim,55,21,30,75,85,90,90,75,48,47,0,0,0,0,0,0,55,300,18,20,40,25,26/02/2018
Tamil Nadu,34.8,31,30.75,65.6,72.8,76.8,76.2,59,39,36,133.8,117,91.6,90,91.8,72.8,52.4,220,17.2,18.8,24,9.2,26/02/2018
Telangana,27.33,26.83,28.5,94.17,92.17,97.5,80.83,72.17,42.33,39.83,116.83,104.75,67.67,82.67,84.17,64.33,41.67,182,13,25.33,40.33,9.5,26/02/2018
Tripura,31,0,31,63,0,73,81,67,44,40,0,117,70,103,0,0,53,178,19,16,48,26,26/02/2018
Uttar Pradesh,24.75,18.38,21.75,59.75,67,61.5,67.63,53.75,39.13,48.13,131.71,103.5,81,93,107.29,78,36.75,196.88,16.13,9.5,28,15.88,26/02/2018
Uttarakhand,23.25,21.5,24,77.25,91.75,92.5,82.75,86.25,42.5,42.75,134.75,93.5,83.75,83.75,105.75,0,41,206.25,18,16.25,41,33.75,26/02/2018
West Bengal,30.14,18,23.71,69,74.29,77.71,79.14,66.86,43,39.29,126.5,98.14,78.71,85.71,93,70.71,42,187.14,11.71,9.29,40.86,16,26/02/2018
Average Price,30.48,24.12,26.33,71,74.12,74.55,74.93,62.98,40.93,41.97,127.05,107.6,79.1,88.12,93.65,74.04,43.85,207.68,14.98,15.06,32.95,17.89,27/02/2018
Maximum Price,55,46,48,132,100,115,140,105,55,65,170,165,109,120,126,115,60,360,22,40,75,55,27/02/2018
Minimum Price,20,16,20,52,53,50,56,46,34,28,89,80,62,70,78,62,28,120,8,7,18,6,27/02/2018
Modal Price,25.5,19,22.5,71.67,70,70,80,52,42,40,115,100,70,85,87.5,70,40,220,18,10,30,10,27/02/2018
Andhra Pradesh,30.5,28,29.75,71,66.5,74.25,74.25,62.33,41.75,41.75,105.75,116.25,67.5,86,85.25,68.25,43.75,212,13.25,16.75,24.5,9.5,27/02/2018
Assam,30,26,29,57,70,70,75,65,42,56,0,90,75,90,100,0,47,200,12,11,30,25,27/02/2018
Bihar,30,18.67,22,65,70.33,76,69.33,55,39.67,40,0,94.67,74.33,89.67,97,72.33,35.33,194.33,14,10,28.67,20,27/02/2018
Chandigarh,28,23,25,68,64,64,65,55,42,44,128,105,75,85,92,0,37,220,16,10,32,22,27/02/2018
Chhattisgarh,25.4,24.8,26.2,70.2,70.4,60,72.2,55,39.2,41.8,122.6,102.2,70.2,87.6,91,86,42.6,195.8,10.6,10.4,35.6,9.8,27/02/2018
Delhi,34,20,23,74,83,82,83,71,39,42,162,118,88,99,108,79,51,237,17,15,33,21,27/02/2018
Goa,42,30,28,85,70,90,95,70,39,50,170,159,109,100,106,79,55,240,17,22,27,17,27/02/2018
Gujarat,23.75,20.5,23,65.75,71.25,67.75,65.75,54.5,39.5,50.5,102.5,88.25,71,80,81.5,69.5,50.5,213.75,14.75,12,34.75,27.5,27/02/2018
Haryana,28.75,20.5,24.25,65.25,79,75,71,62.25,40.75,43.75,135.75,96.5,81,88.75,97.5,73.75,40.75,230,18.5,11.5,36.5,22,27/02/2018
Himachal Pradesh,30.75,0,23.5,62.75,71,65.75,69.5,59.33,41,34.25,139,122.25,88.75,89.25,90,75,36.75,182.5,17.5,11.25,32.5,21.25,27/02/2018
Jammu and Kashmir,30.5,20.5,23,71,74.5,74.5,77.5,68,46,38.5,0,116,93.5,112.5,123,102,40.5,230,18,15,35,25,27/02/2018
Jharkhand,35,24,24,62,65,60,70,52,40,0,145,107,70,98,102,83,38,0,18,13,30,15,27/02/2018
Karnataka,44.75,31.25,35.5,94,78.75,93.5,78,79.5,38,36,137.75,126.25,81.75,85,83.5,70.25,53,237.25,11.25,20.25,31.75,10.5,27/02/2018
Kerala,40.17,35.33,37.5,77.33,75.33,77,77.33,66.5,40.5,43,128,143.8,91.67,93,89.5,72.5,52.33,179.67,10.67,26.83,36.67,17.83,27/02/2018
Madhya Pradesh,23.8,18.8,21.8,70.2,66.8,68.2,62.8,53.6,40.8,44.8,121.8,86.4,66,76.2,86.8,65,41.2,220.8,15.6,12.6,25.4,15.2,27/02/2018
Maharashtra,34.5,26.25,29.5,68.25,68.5,73.5,76.75,57,39,39.75,117.75,124.5,81.25,83,90.25,73.5,45,235.25,16.5,18,24.5,20,27/02/2018
Manipur,50,0,30,100,100,100,100,80,50,0,0,109,87,109,0,98,60,240,15,20,50,45,27/02/2018
Mizoram,30,0,25,0,80,0,140,100,55,65,0,109,0,93,98,0,0,360,22,35,75,55,27/02/2018
Nagaland,25,40,30,80,75,60,75,60,45,50,0,0,0,0,0,0,60,200,10,15,50,30,27/02/2018
Odisha,26,0,23,54.75,66.25,58.75,70.25,48.25,39.5,34,0,99.75,73.75,90.5,92.75,79.75,40,185,17,10,24.25,14.25,27/02/2018
Puducherry,32,34,28,65,76,80,80,55,38,36,124,132,100,0,89,76,48,250,17,18,24,8,27/02/2018
Punjab,32,19,22.67,74,80.33,76.67,77.33,71.67,40.67,45.67,150.33,97.33,83.67,89.67,102.67,0,43.67,201.67,18,10.33,31.67,20.67,27/02/2018
Rajasthan,27,18.5,20.5,63.5,58,60,58.5,48,38.5,39,120.5,102.5,66.5,82.5,90,0,32,201.5,16.5,10,20,10,27/02/2018
Sikkim,55,21,30,75,85,90,90,75,48,47,0,0,0,0,0,0,55,300,18,20,40,30,27/02/2018
Tamil Nadu,34.6,31,30.75,65.6,72.8,76.8,76.2,59,39,36,133.8,117,91.6,90,91.8,72.8,52.4,220,17.2,18.6,24,9.2,27/02/2018
Telangana,27.33,26.83,28.5,94.17,92.17,97.5,80.83,72.17,42.33,39.83,116.83,104.75,67.67,82.67,84.17,64.33,41.67,182,13,25.33,40.33,9.5,27/02/2018
Tripura,31,0,31,63,0,73,81,67,44,40,0,117,70,103,0,0,53,178,19,16,48,26,27/02/2018
Uttar Pradesh,24.75,18.38,21.75,60.13,66.88,61.5,67.5,53.63,39.13,48.13,129.33,103.5,81,93,107.71,77.83,36.75,196.88,16.13,9.38,27.38,16.25,27/02/2018
Uttarakhand,23.25,21.5,24,77.25,91.75,92.5,82.75,86.25,42.5,42.75,134.75,93.5,83.75,83.75,105.75,0,41,206.25,18,16.25,41,33.75,27/02/2018
West Bengal,30.29,18,24,69,74.29,77.71,79.14,66.86,43.29,39.29,126.5,98.57,78.71,85.86,93,70.71,42,187.14,11.71,9.29,42.14,16.29,27/02/2018
Average Price,30.37,24.35,26.64,71.47,74.16,74.77,75.01,62.94,41.08,42.26,126.7,107.62,79.77,88.26,94.06,74.43,44.41,208.28,15.07,15.24,32.84,18.16,28/02/2018
Maximum Price,55,46,50,132,100,115,140,105,55,65,170,165,129,120,126,115,72,360,22,40,75,55,28/02/2018
Minimum Price,20,16,20,52,53,50,56,46,34,28,89,80,62,70,78,62,28,120,8,7,18,6,28/02/2018
Modal Price,25,19.5,22.5,71.67,72.5,70,80,52,42,40,115,100,70,85,87.5,70,40,220,18,10,30,10,28/02/2018
Andaman and Nicobar,33,36,50,85,77,85,80,64,50,57,0,148,129,0,115,98,72,208,12,20,42,30,28/02/2018
Andhra Pradesh,30.75,28.25,29.75,71,66.5,74.5,74.25,62,41.75,41.75,105,114.25,67.25,86,85.25,68.25,43.75,212,13.25,16.75,23.25,10,28/02/2018
Bihar,30,18.67,22,65,70.33,76,69.33,55,39.67,40,0,94.67,74.33,89.67,97,72.33,35.33,194.33,14,10,28.67,20,28/02/2018
Chandigarh,28,23,25,68,64,64,65,55,42,44,128,105,75,85,92,0,37,220,16,10,30,21,28/02/2018
Chhattisgarh,25.4,24.8,26.2,70.2,70.4,60,72.2,55,39.2,41.8,122.6,102.2,70.2,87.6,91,86,42.6,195.8,10.6,10.4,35.6,9.8,28/02/2018
Delhi,34,20,23,74,83,82,83,71,39,42,162,118,88,99,108,79,51,237,17,15,33,21,28/02/2018
Goa,42,30,28,85,70,90,95,70,39,50,170,159,109,100,106,79,55,240,17,22,27,17,28/02/2018
Gujarat,23.75,20.5,23,65.5,71.25,67.75,65.75,54.5,39.5,50.5,102.5,88.25,71,80,81.5,69.5,50.5,213.75,14.75,12,34.5,27.5,28/02/2018
Haryana,28.75,20.5,24.25,65.25,79,75,71,62.25,40.75,43.75,135.75,96.5,81,88.75,97.5,73.75,40.75,230,18.5,11.5,36.5,22,28/02/2018
Himachal Pradesh,30.5,0,23.5,62.75,71,65.75,69.5,59,41,34.25,139,122.25,89,89.25,90,75,36.75,182.5,17.5,11.25,31.25,21.25,28/02/2018
Jammu and Kashmir,30.5,20.5,23,71,74.5,74.5,77.5,68,46,38.5,0,116,93.5,112.5,123,102,40.5,230,18,15,30,22.5,28/02/2018
Jharkhand,35,24,24,62,65,60,70,52,40,42,145,107,70,98,102,83,38,260,18,13,30,15,28/02/2018
Karnataka,44.75,31.25,35.5,94,78.75,93.5,78,79.5,38,36,137.75,126.25,81.75,85,83.5,70.25,53,237.25,11.25,20.25,31.75,10.5,28/02/2018
Kerala,40.17,35.33,37.5,77.33,75.33,77,77.33,66.5,40.5,43,128,143.8,91.67,93,89.5,72.5,52.33,179.67,10.67,26.83,35,18.5,28/02/2018
Madhya Pradesh,24,18.83,22.33,67.33,66.83,68.17,62,52.5,40.5,44.33,124.83,87,67.5,77.67,88.17,67.33,40.17,217.33,15.83,12.17,25.33,15.17,28/02/2018
Maharashtra,34.5,26.25,29.5,68.25,68.75,74,76.5,57.25,39,39.75,117,124.5,81,83,89.75,73.25,45.5,235.25,16.5,17.75,23.5,19.75,28/02/2018
Manipur,50,0,30,100,100,100,100,80,50,0,0,109,87,109,0,98,60,240,15,25,60,50,28/02/2018
Meghalaya,25,29,28,85,62,70,80,63,50,64,115,94,72,98,122,88,66,200,20,20,55,35,28/02/2018
Mizoram,30,0,25,0,80,0,140,100,55,65,0,109,0,93,98,0,0,360,22,35,75,55,28/02/2018
Nagaland,25,40,30,80,75,60,75,60,45,50,0,0,0,0,0,0,60,200,10,15,50,30,28/02/2018
Odisha,26,0,23,55,66.25,58.75,70.25,48.25,39.5,34,0,99.75,73.25,90.5,91.5,79.75,40,185,17,10,23.75,14.25,28/02/2018
Puducherry,32,34,28,65,76,80,80,55,38,36,124,132,100,0,89,76,48,250,17,18,24,8,28/02/2018
Punjab,32,19,22.67,74,80.33,76.67,77.33,71.67,40.67,45.67,150.33,97.33,83.67,89.67,102.67,0,43.67,201.67,18,10.33,31.67,20.67,28/02/2018
Rajasthan,27,19,21,53,53,60,57,46,37,38,116,85,69,85,92,0,28,160,17,10,21,10,28/02/2018
Sikkim,55,21,30,75,85,90,90,75,48,47,0,0,0,0,0,0,55,300,18,20,40,30,28/02/2018
Tamil Nadu,34.6,31,30.75,67,72.8,76.6,76.2,58.5,38.8,36,133.8,117,91.6,90,91.8,72.8,52.4,220,17.2,18.6,22.6,8.8,28/02/2018
Telangana,27.33,26.83,28.5,94.17,92.17,97.5,80.83,72.17,42.33,39.83,116.83,104.75,67.67,82.67,84.17,64.33,41.67,182,13,25.33,40.33,9.5,28/02/2018
Tripura,31,0,31,63,0,73,81,67,44,40,0,117,70,103,0,0,53,178,19,16,48,26,28/02/2018
Uttar Pradesh,24.88,18.38,21.88,60.13,66.88,61.63,67.5,53.63,39.25,48.13,129.33,101.86,80.75,93,107.14,77.83,36.88,199.38,16.13,9.38,27.75,16.5,28/02/2018
Uttarakhand,23.25,21.5,24,77.25,91.75,92.5,82.75,86.25,42.5,42.75,134.75,93.5,83.75,83.75,105.75,0,41,206.25,18,16.25,41,33.75,28/02/2018
West Bengal,29,17.2,23.67,71.33,75,78,80,68,43.5,39.17,121.8,97.5,80.17,85.17,92.17,69.17,42.33,188.33,11.67,8.17,40.83,15,28/02/2018
Average Price,31.04,24.91,27.03,72.63,75.2,76.52,75.17,63.68,40.91,41.28,126.12,107.5,79.47,87.45,92.15,73.57,45.04,206.85,14.81,15.6,32.57,18.11,1/3/2018
Maximum Price,55,46,48,132,100,115,100,105,50,64,170,165,109,120,125,115,66,300,20,29,60,50,1/3/2018
Minimum Price,22,16,20,53,60,50,58,46,34,28,89,80,62,70,78,62,29,120,8,7,17,6,1/3/2018
Modal Price,25.5,21,23,67.5,70,72.5,80,52,42,40,140,90,75,85,85,67,40,220,17,10,30,10,1/3/2018
Andhra Pradesh,32,27,26,59,60,74,71,49,40,41,95,98,62,0,82,69,35,208,11,11,19,10,1/3/2018
Assam,30,26,29,60,70,70,75,65,42,56,0,90,75,90,100,0,47,200,12,11,30,25,1/3/2018
Bihar,30,18.67,22,65,70.33,76,69.33,55,39.67,40,0,94.67,74.33,89.67,97,72.33,35.33,194.33,14,10,28.67,20,1/3/2018
Chandigarh,28,23,25,67,64,64,65,54,41,44,128,104,75,85,92,0,36,220,16,10,28,21,1/3/2018
Chhattisgarh,25.4,24.8,26.2,70.2,70.4,60,72.2,55,39.2,41.8,122.6,102.2,70.2,87.6,91,86,42.6,195.8,10.6,10.4,35.6,9.8,1/3/2018
Delhi,34,20,23,74,83,82,83,71,39,42,162,118,88,99,108,79,51,237,17,15,33,21,1/3/2018
Goa,42,30,28,85,70,90,95,70,39,50,170,159,109,100,106,79,55,240,17,22,27,17,1/3/2018
Gujarat,23.75,20.5,23,65.5,71.25,67.75,65.75,54.5,39.5,50.5,102.25,88.25,71,80,81.5,69.5,50.5,213.75,14.75,12,34.5,27.5,1/3/2018
Haryana,28.75,20.5,24.25,65.25,79,75,71,62.25,40.75,43.75,135.75,96.5,81,88.75,97.5,73.75,40.75,230,18.5,11.5,36.5,22,1/3/2018
Himachal Pradesh,30.5,0,23.5,62.75,71,65.75,69.5,59,41,34.25,139,122.25,89,89.25,90,75,36.75,182.5,17.5,11.25,31.25,21.25,1/3/2018
Jammu and Kashmir,29,21,23,80,75,75,80,80,50,37,0,120,95,120,125,0,45,220,18,20,30,25,1/3/2018
Karnataka,44.75,31.25,35.5,94,78.75,93.5,78,79.5,38,36,137.75,126.25,81.75,85,83.5,70.25,53,237.25,11.25,20.25,31.75,10.5,1/3/2018
Kerala,40.17,35.33,37.5,77.33,75.33,77,77.33,66.5,40.5,43,128,143.8,91.67,93,89.5,72.5,52.33,179.67,10.67,24,32.17,18.5,1/3/2018
Madhya Pradesh,24,18.83,22.33,67.33,66.83,68.17,62,52.5,40.5,44.33,124.83,87,67.5,77.67,88.17,67.33,40.17,217.33,15.83,12.17,25.33,15.17,1/3/2018
Maharashtra,34.75,26.25,29.5,67.5,68.75,74.75,76.5,56.75,39,39.75,117,124.5,81,83,89.75,73.25,45.5,235.25,16.5,18,23.5,20,1/3/2018
Manipur,50,0,30,100,100,100,100,80,50,0,0,109,87,109,0,98,60,240,15,25,60,50,1/3/2018
Meghalaya,25,29,28,85,62,70,80,63,50,64,115,94,72,98,122,88,66,200,20,20,55,35,1/3/2018
Odisha,25.67,0,23.33,55.33,66.67,59.67,71,48.67,40,34,0,100,74.33,92,92,80.33,39.33,186.67,17,10,24,14,1/3/2018
Puducherry,32,34,28,65,76,80,80,55,38,36,124,132,100,0,89,76,48,250,17,18,24,8,1/3/2018
Punjab,34,18,23,77,75,70,80,70,42,46,153,93,81,84,102,0,47,195,18,10,30,25,1/3/2018
Sikkim,55,21,30,75,85,90,90,75,48,47,0,0,0,0,0,0,55,300,18,20,40,30,1/3/2018
Tamil Nadu,34.4,31,31,67,72.8,76.6,76.2,58.5,38.6,36,133.8,117,91.6,90,91.8,72.8,52.4,220,17.2,18.6,20.8,9,1/3/2018
Telangana,27.33,26.83,28.5,94.17,92.17,97.5,80.83,72.17,42.33,39.83,116.83,104.75,67.67,82.67,84.17,64.33,41.67,182,13,25.33,40.33,9.5,1/3/2018
Tripura,31,0,31,63,0,73,81,67,44,40,0,117,70,103,0,0,53,178,19,16,48,26,1/3/2018
Uttarakhand,23.25,21.5,24,77.25,91.75,92.5,82.75,86.25,42.5,42.75,134.75,93.5,83.75,83.75,105.75,0,41,206.25,18,16.25,41,33.75,1/3/2018
West Bengal,29.6,17.25,23.2,69.6,74,75.6,80,67.6,42.8,38,115.5,96.4,80.2,87.6,92.6,70.6,41.2,182,11.6,8.2,39.6,14,1/3/2018
Average Price,29.89,24.45,26.53,72.22,75.31,76.65,74.96,63.78,40.61,39.94,125.52,104.73,78.17,86.37,92.53,73.64,43.15,209.22,14.81,14.93,31.3,15.76,2/3/2018
Maximum Price,52,34,43,132,97,115,85,105,50,56,156,165,103,120,125,115,60,275,20,26,50,35,2/3/2018
Minimum Price,22,16,20,53,60,50,58,46,34,28,89,80,62,71,78,62,29,120,9,8,17,6,2/3/2018
Modal Price,32,22.5,23,70,70,70,80,54,42,40,140,100,75,85,85,64,40,220,18,10,40,10,2/3/2018
Andhra Pradesh,32,28,28.5,59,61,68,71.5,55.5,39.5,41.5,95,109.5,64.5,82,82.5,68.5,38.5,231.5,11,12.5,21,10,2/3/2018
Assam,30,26,29,60,70,70,75,65,42,56,0,90,75,90,100,0,47,200,12,11,30,25,2/3/2018
Chandigarh,28,23,25,67,64,64,65,54,41,44,128,104,75,85,92,0,36,220,16,10,28,21,2/3/2018
Chhattisgarh,25.4,24.8,26.2,70.2,70.4,60,72.2,55,39.2,41.8,122.6,102.2,70.2,87.6,91,86,42.6,195.8,10.6,10.4,35.6,9.8,2/3/2018
Haryana,28.75,20.5,24.25,65.25,79,75,71,62.25,40.75,43.75,135.75,96.5,81,88.75,97.5,73.75,40.75,230,18.5,11.5,36.5,22,2/3/2018
Himachal Pradesh,32,0,24,56,70,65,71,51,40,28,0,117,83,84,0,0,29,180,17,10,35,20,2/3/2018
Jammu and Kashmir,30.5,20.5,23,71,74.5,74.5,77.5,68,46,38.5,0,116,93.5,112.5,123,102,40.5,230,18,15,27.5,22.5,2/3/2018
Karnataka,44.75,31.25,35.5,94,78.75,93.5,78,79.5,38,36,137.75,126.25,81.75,85,83.5,70.25,53,237.25,11.25,20.25,31.75,10.5,2/3/2018
Madhya Pradesh,23.8,18.6,21.8,66.4,66.2,68.8,61.4,52.6,40.2,43.6,126.2,87.2,68.4,79.2,89.2,67,39.4,210.8,15.8,12,26,16.4,2/3/2018
Maharashtra,34.75,26.25,29.5,67.5,68.25,75.25,76.25,56.75,39,39.75,117.5,124.5,81,83,89.75,73.25,45.5,235.25,16.5,18,23.25,19.25,2/3/2018
Odisha,25.67,0,23.33,55.33,66.67,59.67,71,48.67,40,34,0,100,74.33,92,92,80.33,39.33,186.67,17,10,23.33,14,2/3/2018
Puducherry,32,34,28,65,76,80,80,55,38,36,124,132,100,0,89,77,48,250,17,18,20,8,2/3/2018
Punjab,34,18,23,77,75,70,80,70,42,46,153,93,81,84,102,0,47,195,18,10,30,25,2/3/2018
Tamil Nadu,34.4,31,31,67,72.8,74.8,76.2,58.5,38.6,36,133.8,117,91.6,90,91.8,72.8,52,220,17.2,18.6,20.4,9,2/3/2018
Telangana,27.33,26.83,28.5,94.17,92.17,97.5,80.83,72.17,42.33,39.83,116.83,104.75,67.67,82.67,84.17,64.33,41.67,182,13,25.33,40.33,9.5,2/3/2018
Uttarakhand,23.25,21.5,24,77.25,91.75,92.5,82.75,86.25,42.5,42.75,134.75,93.5,83.75,83.75,105.75,0,41,206.25,18,16.25,41,33.75,2/3/2018
West Bengal,29.6,17.25,23.2,70,74,75.6,80,67.6,42.8,38,115.5,96.4,80.2,87.6,92.6,70.6,41.2,182,11.6,8.2,39.6,14,2/3/2018
Average Price,29.78,24.44,26.33,70.68,74.83,75.09,74.63,62.21,40.83,41.03,124.78,106.09,79.2,87.08,92.97,74.14,43.98,208.55,14.98,14.98,30.85,17.25,3/3/2018
Maximum Price,55,46,48,95,95,100,95,90,50,56,170,165,109,118,130,115,60,300,20,26,50,42,3/3/2018
Minimum Price,22,16,20,54,60,50,59,46,35,28,89,80,62,70,78,62,29,120,8,7,18,6,3/3/2018
Modal Price,26,20.5,23,67.5,70,72.5,80,52,42,40,130,100,75,85,85,64,40,220,17,10,40,10,3/3/2018
Andhra Pradesh,32,28,28.5,60,61,68,71.5,55.5,39.5,41.5,95,110,64.5,82,82.5,68.5,38.5,231.5,11,12.5,20,10,3/3/2018
Assam,30,26,29,57,70,70,75,65,42,56,0,90,75,90,100,0,45,200,12,11,26,25,3/3/2018
Chandigarh,28,23,25,67,64,64,65,52,41,44,128,104,75,85,92,0,35,220,16,10,28,21,3/3/2018
Chhattisgarh,25.4,24.8,26.2,70.2,70.4,60,72.2,55,39.2,41.8,122.6,102.2,70.2,87.6,91,86,42.6,195.8,10.6,10.4,35.6,9.8,3/3/2018
Delhi,34,20,23,74,83,82,83,71,39,42,162,118,88,99,108,79,51,237,17,15,33,21,3/3/2018
Goa,42,30,28,85,70,90,95,70,39,50,170,159,109,100,106,79,55,240,17,22,27,17,3/3/2018
Gujarat,23.75,20.5,23,65.5,71.25,67.75,65.75,54.5,39.5,49.33,102.25,88.25,71,80,81.5,69.5,50.5,213.75,14.75,12,34.5,27.5,3/3/2018
Haryana,28.75,20.5,24.25,65.25,79,75,71,62.25,40.75,43.75,135.75,96.5,81,88.75,97.5,73.75,40.75,230,18.5,11.5,36.5,22,3/3/2018
Himachal Pradesh,29.33,0,24,63.67,71.67,68.33,70,59,40.67,32.67,139,121,88.33,88.67,90,70,36.33,186.67,17.33,11.67,33.33,21.67,3/3/2018
Jammu and Kashmir,30.5,20.5,23,66,74.5,74.5,77.5,63,46,38.5,0,116,93.5,111.5,125.5,102,40.5,230,18,15,32.5,25,3/3/2018
Jharkhand,35,24,24,62,65,60,70,52,40,0,145,106,70,98,102,83,38,0,18,13,30,15,3/3/2018
Kerala,40.75,35.25,38.5,78.25,74.25,77,76.25,67.5,41.25,43.5,124.33,145.67,92.5,91,91.75,72.75,53.5,185.25,9.75,22.5,24.5,16.75,3/3/2018
Madhya Pradesh,23.8,18.8,21.8,70.2,66.8,68.2,62.8,53.6,40.8,44.8,121.8,86.4,66,76.2,86.8,65,41.2,220.8,15.6,12.6,25.4,15.2,3/3/2018
Maharashtra,34.75,26.25,29.5,67.25,68.5,75.5,76.25,56.75,39,39.75,117.5,124.5,81,83,89.75,73.25,45.5,235.25,16.5,17.75,23,19.25,3/3/2018
Odisha,26,0,23,55,66.25,58.75,70.25,48.25,39.5,34,0,99.75,74.5,90.5,94,83.5,40,185,17,11.75,21.25,14.25,3/3/2018
Puducherry,32,34,28,65,76,80,80,55,38,36,124,132,100,0,89,77,48,250,17,18,18,8,3/3/2018
Punjab,28,19,23,80,88,91,75,70,42,47,153,104,90,98,104,0,45,210,18,7,25,20,3/3/2018
Sikkim,55,21,30,75,85,90,90,75,48,47,0,0,0,0,0,0,55,300,18,20,40,30,3/3/2018
Tamil Nadu,34.4,31,31,67,72.8,74.8,76.2,58.5,38.6,36,133.8,117,91.6,90,91.8,72.8,52,220,17.2,18.6,21,8.6,3/3/2018
Telangana,27.33,26.83,28.5,94.17,92.17,97.5,80.83,72.17,42.33,39.83,116.83,104.75,67.67,82.67,84.17,64.33,41.67,182,13,25.33,40.33,9.5,3/3/2018
Uttarakhand,23.25,21.5,24,77.25,91.75,92.5,82.75,86.25,42.5,42.75,134.75,93.5,83.75,83.75,105.75,0,41,206.25,18,16.25,41,33.75,3/3/2018
West Bengal,29.6,17.25,23.2,70,74,75.6,80,67.6,43,38,115.5,96.4,80.2,87.6,92.6,70.6,41.2,182,11.6,8.2,39.6,14,3/3/2018
Average Price,30.93,24.43,25.93,67.33,74.73,74.07,74.8,61.83,40.27,41.33,138.31,100.58,82.8,87.6,94.67,73.85,45.33,223.13,16.73,14.07,28.47,15.47,4/3/2018
Maximum Price,37,34,32,77,85,82,83,75,44,56,162,132,103,99,108,85,60,260,20,20,45,28,4/3/2018
